PROGRAM TYPE,PROGRAM,SITE NAME,Address,BOROUGH / COMMUNITY,Postcode,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 217 - Rafael Hernandez School,"977 Fox Street, Bronx, NY 10459",Bronx,10459,"Simpson Street Development Association, Inc.",718.589.1510,,,40.822443,-73.893902,2,17,159,"2,005,660","2,027,140,004",Hunts Point                                                                
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Phipps Community Education Center,1030 East 178thStreet,Bronx,10460,Phipps Community Development,718-542-0109,14 to 24,"1030 178thStreet10460
(40.841345048101, -73.880303879158)",40.84134505,-73.88030388,,,,,,
Jobs & Internships,Adult Employment,NDA Center,647 E. 180th Street,Bronx,,South Bronx Overall Economic Development Corp.,718 585.2600,,"647 180th Street
(40.71619, -90.444246)",40.71619,-90.444246,,,,,,
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Community Counseling & Mediation,261 Buffalo Ave,Brooklyn,11213,Community Counseling & Mediation,718-875-7751 x240,14 to 24,"261 Buffalo Ave11213
(40.67003864097, -73.92540014432)",40.669991,-73.925427,8,41,359,"3,037,201","3,013,870,007",Crown Heights North                                                        
Jobs & Internships,In-School Youth Employment (ISY),Junior High School 136 - Charles O. Dewey,4004 4th Avenue,Brooklyn,11232,SCO Family of Services,516.671.1253,,"4004 4th Avenue11232
(40.652089908533, -74.006885108331)",40.651977,-74.006862,7,38,82,"3,010,580","3,007,130,020",Sunset Park West                                                           
Jobs & Internships,In-School Youth Employment (ISY),The International High School @ Prospect Heights (K524),883 Classon Avenue,Brooklyn,11225,Chinese American Planning Council,212.941.0920,,"883 Classon Avenue11225
(40.670458657699, -73.961628275734)",40.670349,-73.961695,9,35,213,"3,029,686","3,011,870,001",Crown Heights South                                                        
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Asociaciones Dominicanas, Inc - Vulnerable Youth","202 Union Avenue , 2nd flr, ste L&M",Brooklyn,11211,"Asociaciones Dominicanas, Inc - Vulnerable Youth",718-599-2386 ,14 to 24,"202 Union Avenue
ste L&M 11211
(40.706434807769, -73.950331811608)",40.706403,-73.950356,1,34,511,"3,325,853","3,030,580,100",East Williamsburg                                                          
Jobs & Internships,In-School Youth Employment (ISY),"Sesame Flyers International, Inc.",3510 Church Avenue,Brooklyn,11203,"Sesame Flyers International, Inc.",718.693.0500,,"3510 Church Avenue11203
(40.651046066177, -73.944640167627)",40.651066,-73.944555,17,45,856,"3,109,467","3,048,890,004",East Flatbush-Farragut                                                     
"Jobs & Internships, Youth Employment",Summer Youth Employment ,National Society for Hebrew Day School,1545 Coney Island Avenue,Brooklyn,11230,National Society for Hebrew Day School,718-252-4446 ,14 to 24,"1545 Coney Island Avenue11230
(40.6198266572, -73.96413986613)",40.619583,-73.964181,14,44,768,"3,329,237","3,067,310,001",Midwood                                                                    
Jobs & Internships,Out-of-School Youth Employment (OSY),Bronx Community College,"4117 West 181st Street, 5th Floor",Bronx,10453,"Henkels & McCoy, Inc.",917.856.2368,16 to 21,"4117 181st Street10453
(40.852786838342, -73.913426784319)",40.85278684,-73.91342678,,,,,,
Jobs & Internships,Adult Employment,Urban net Cathedral Cares,1047 Amsterdam Avenue,New York,10025,Community Impact/Columbia University,212 854.2617,,"1047 Amsterdam Avenue10025
(40.803849783644, -73.963177125879)",40.803951,-73.963139,9,7,"19,701","1,082,706","1,018,650,001",Morningside Heights                                                        
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Chinese American Planning Council - Manhattan ,165 Eldridge Street,Manhattan,10013,Chinese American Planning Council - Manhattan ,212-334-0083 ,14 to 24,"165 Eldridge Street10013
(40.721242188776, -74.008889000227)",40.720074,-73.990996,3,1,18,"1,075,907","1,004,200,068",Chinatown                                                                  
Jobs & Internships,Youth Employment,Bronx Community Resource Center, 81-83C Featherbed Lane,Bronx,10452,Covenant House / Under 21,718.294. 7182,HS,"81 83C Featherbed Lane10452
(40.837724263364, -73.923332211412)",40.846306,-73.917755,5,14,"21,502","2,008,809","2,028,760,037",University Heights-Morris Heights                                          
Jobs & Internships,Youth Employment,Police Athletic League PAL\Harlem Center ,441 Manhattan Avenue,New York,10026,"Police Athletic League, Inc.",212.665.8699,MS/HS,"441 Manhattan Avenue10026
(40.806694644425, -73.955618643362)",40.806654,-73.955649,10,9,257,"1,088,138","1,019,450,051",Central Harlem South                                                       
Jobs & Internships,In-School Youth Employment (ISY),Herbert H. Lehman High School - H.S. 405,3000 E. Tremont Avenue,Bronx,10461,"Henkels & McCoy, Inc.",800.622.5577,,"3000 Tremont Avenue10461
(40.840618266234, -73.838305820374)",40.840702,-73.838545,10,13,194,"2,074,045","2,053,680,001",Schuylerville-Throgs Neck-Edgewater Park                                   
Jobs & Internships,Youth Employment,East NY Development Corporation,2644 Atlantic Avenue,Brooklyn,11207,East NY Development Corporation,718.566.2127,HS,"2644 Atlantic Avenue11207
(40.675655262304, -73.896752975273)",40.675744,-73.896644,5,37,"1,198","3,326,728","3,036,870,012",East New York                                                              
Jobs & Internships,Out-of-School Youth Employment (OSY),"NYSARC, Inc.",57 Willoughby,Brooklyn,11201,"NYSARC, Inc, NYC Chapter Assn for Help of Retarded Children",212.634.8657,16 to 21,"57 Willoughby11201
(40.692238836414, -73.98662013867)",40.69223884,-73.98662014,,,,,,
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Sat. Community Partnership Center.,"413 West 125th Street,",Manhattan,10027,Ecumenical Community Development Organization,212-531-3211 ,14 to 24,"413 125th Street10027
(40.811706778839, -73.954731383002)",40.81168,-73.954703,9,7,"20,901","1,059,548","1,019,660,066",Morningside Heights                                                        
Jobs & Internships,Adult Employment,COJO of Flatbush,1550 Coney Island Ave,Queens,11230,Council of Jewish Organizations of Flatbush                 ,718.377.2900,Adults,"1550 Coney Island Ave11230
(40.619697574375, -73.964314154293)",40.619517,-73.964188,12,44,454,"3,171,988","3,065,460,011",Ocean Parkway South                                                        
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Mosholu Montefiore Community Center, Inc.",3400 Reservoir Oval East,Bronx,10467,"Mosholu Montefiore Community Center, Inc.",718-882-4000  x279,14 to 24,"3450 Dekalb Avenue10467
(40.881106944743, -73.881708466169)",40.878889,-73.87581,7,11,423,"2,018,218","2,033,430,185",Norwood                                                                    
"Jobs & Internships, Youth Employment",Summer Youth Employment ,The Lucile Palmaro Clubhouse,1930 Randall Avenue,Bronx,10473,Kips Bay Boys & Girls Club,718-893-8600 x258/261,14 to 24,"1930 Randall Avenue10473
(40.81782677019, -73.856685373362)",40.817841,-73.856704,9,18,16,"2,090,508","2,035,280,017",Soundview-Castle Hill-Clason Point-Harding Park                            
Jobs & Internships,Youth Employment,Youth for Education and Sports,681 Ocean Avenue,Brooklyn,11226,Youth for Education and Sports,718.941.7532,,"681 Ocean Avenue11226
(40.646187680826, -73.960236131048)",40.646286,-73.960274,14,40,"51,001","3,117,624","3,051,240,026",Flatbush                                                                   
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Chinatown Manpower Project, Inc.",70 Mulberry Street,Manhattan,10013,"Chinatown Manpower Project, Inc.",212-571-1690,14 to 24,"70 Mulberry Street
flr 10013
(40.716141909295, -73.999172809241)",40.716092,-73.999203,3,1,29,"1,066,494","1,002,000,001",Chinatown                                                                  
Jobs & Internships,In-School Youth Employment (ISY),"Simpson Street Development Association, Inc.",997 East 163rd Street,Bronx,10459,"Simpson Street Development Association, Inc.",718.589.1510,,"997 163rd Street10459
(40.821012282861, -73.893418024476)",40.820985,-73.893398,2,17,159,"2,099,787","2,027,240,001",Hunts Point                                                                
Jobs & Internships,Out-of-School Youth Employment (OSY),Catholic Charities Neighborhood Services,23-40 Astoria Boulevard,Queens,11102,Catholic Charities Neighborhood Services,718.726.9790 ext.127,16 to 21,"23 40 Astoria Boulevard11102
(40.771524024514, -73.926435450735)",40.771582,-73.92375,1,22,69,"4,439,576","4,005,420,008",Old Astoria                                                                
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Goodwill Industries of Greater New York,4-21 27th Street,Queens,11102,Goodwill Industries of Greater New York,718-278-9667 ,14 to 24,"4 21 27th Street11102
(40.771524024514, -73.926435450735)",40.77152402,-73.92643545,,,,,,
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PAL-New South Bx. Center,991 Longwood Ave,Bronx,10459,"Police Athletic League, Inc. - Bronx ",718-389-5306,14 to 24,"991 Longwood Ave10459
(40.817260540417, -73.897738395898)",40.817185,-73.897667,2,17,87,"2,100,984","2,027,090,001",Longwood                                                                   
Jobs & Internships,Out-of-School Youth Employment (OSY),Henry Street Settlement Workforce Development Center,99 Essex Street,New York,10002,Henry Street Settlement,212.478.5400 ext. 210,16 to 21,"99 Essex Street10002
(40.7184474156, -73.988301222787)",40.718943,-73.988012,3,1,18,"1,087,565","1,004,100,064",Chinatown                                                                  
Jobs & Internships,In-School Youth Employment (ISY),"Police Athletic League, Inc",116-25 Guy R. Brewer Boulevard,Queens,11434,"Police Athletic League, Inc.",212.477.6504,,"116 25 Guy R Brewer Boulevard11434
(40.676945262114, -73.775306901692)",40.686208,-73.784144,12,28,278,"4,464,077","4,123,350,049",Baisley Park                                                               
Jobs & Internships,In-School Youth Employment (ISY),"New Spirit II, Inc. -- Youth Center",162-04 South Road,Queens,11433,"New Spirit II, Inc.",718.712.1100,,"162 04 South Road11433
(40.698104881735, -73.787574033914)",40.699445,-73.794329,12,28,254,"4,215,796","4,101,290,003",South Jamaica                                                              
"Jobs & Internships, Youth Employment",Summer Youth Employment ,East NY Development Corporation,2644 Atlantic Avenue,Brooklyn,11207,East NY Development Corporation,718-566-2129,14 to 24,"2644 Atlantic Avenue11207
(40.675655262304, -73.896752975273)",40.675744,-73.896644,5,37,"1,198","3,326,728","3,036,870,012",East New York                                                              
Jobs & Internships,Youth Employment,Miccio Center ,110 West 9th Street,Brooklyn,11231,"Police Athletic League, Inc.",212.477.9450,,"110 9th Street11231
(40.67578212491, -74.001523292383)",40.676024,-74.002318,6,38,85,"3,339,411","3,005,380,001",Carroll Gardens-Columbia Street-Red Hook                                   
Jobs & Internships,In-School Youth Employment (ISY),"Asociaciones Dominicanas, Inc",202 Union Avenue,Brooklyn,11211,"Asociaciones Dominicanas, Inc",212.247.2929,,"202 Union Avenue11211
(40.706434807769, -73.950331811608)",40.706403,-73.950356,1,34,511,"3,325,853","3,030,580,100",East Williamsburg                                                          
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Southern Queens Park Association,"177-01 Baisley Boulevard ,",Queens,11434,Southern Queens Park Association,718-276-4630  x107,14 to 24,"177 01 Baisley Boulevard11434
(40.676945262114, -73.775306901692)",40.686284,-73.768455,12,27,426,"4,268,835","4,124,060,180",St. Albans                                                                 
Jobs & Internships,Youth Employment,Intermediate School 43 ,160 Beach 29th Street,Queens,11691,Federation Employment & Guidance Services (FEGS),212.366.8401,MS/HS,"160 Beach 29th Street11691
(40.594515128003, -73.761826540295)",40.593834,-73.76174,14,31,"99,802","4,467,711","4,158,200,001",Far Rockaway-Bayswater                                                     
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Pulse High School,560 E. 179th  Street ,Bronx,10457,Wildcat Service Corporation,718-294-0230 x3080,14 to 24,"560 179th Street10457
(40.848594211674, -73.893692127627)",40.8486,-73.893654,6,15,"37,504","2,011,844","2,030,610,055",East Tremont                                                               
"Jobs & Internships, Youth Employment",Summer Youth Employment ,The Children's Aid Society,105 East 22nd Street,Manhattan,10010,The Children's Aid Society,917-286-1535,14 to 24,"105 22nd Street10010
(40.73943216627, -73.986562604958)",40.739265,-73.986215,5,2,68,"1,018,010","1,008,780,001",Gramercy                                                                   
Jobs & Internships,In-School Youth Employment (ISY),SCO Family Services/Center for Family Life,345 43rd Street,Brooklyn,11232,SCO Family of Services,516.671.1253,,"345 43rd Street11232
(40.651038320789, -74.009513156888)",40.651013,-74.009514,7,38,82,"3,337,160","3,007,230,025",Sunset Park West                                                           
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Catholic Charities Neighborhood Services, Inc.",200 Gold Street,Brooklyn,11201,"Catholic Charities Neighborhood Services, Inc.",718-875-8801   ,14 to 24,"200 Gold Street11201
(40.698288822006, -73.983097400318)",40.698184,-73.983079,2,33,15,"3,000,197","3,001,090,001",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Jacob A. Riis Neighborhood Settlement, Inc.",10-25 41st Avenue,Queens,11101,"Jacob A. Riis Neighborhood Settlement, Inc.",718-784-7447 ,14 to 24,"10 25 41st Avenue11101
(40.745702449808, -73.938669029252)",40.755488,-73.945328,1,26,25,"4,433,386","4,004,700,100",Queensbridge-Ravenswood-Long Island City                                   
Jobs & Internships,Youth Employment,Public School 217 - Col. David Marcus Elementary School ,1100 Newkirk Avenue,Brooklyn,11230,Flatbush Development Corporation,718.859.3800,MS/HS,"1100 Newkirk Avenue11230
(40.633960964399, -73.966505506315)",40.63398,-73.966558,14,40,526,"3,121,072","3,052,320,001",Flatbush                                                                   
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 232 - Winthrop School,905 Winthrop Street,Brooklyn,11203,"Sesame Flyers International, Inc.",718.693.0500,,"905 Winthrop Street11203
(40.658451422174, -73.929131359882)",40.65843,-73.929076,17,41,880,"3,099,733","3,046,060,025",Prospect Lefferts Gardens-Wingate                                          
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Chinese American Planning Council - Queens ,136-18 39th Avenue 8th flr,Queens,11354,Chinese American Planning Council - Queens ,718-358-8899  x132,14 to 24,"136 18 39th Avenue
flr 11354
(40.768620220647, -73.827190280707)",40.76033,-73.829831,7,20,871,"4,112,492","4,049,800,011",Flushing                                                                   
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Alianza Dominicana, Inc. - Manhattan","2410 Amsterdam Avenue , 2nd fl",Manhattan,10033,"Alianza Dominicana, Inc. - Manhattan",212-740-1960,14 to 24,"2410 Amsterdam Avenue10033
(40.847155142524, -73.931588758739)",40.847177,-73.93159,12,10,261,"1,063,604","1,021,520,048",Washington Heights South                                                   
Jobs & Internships,Youth Employment,Youth Employment Program ,3400 Reservoir Oval,Bronx,10467,"Mosholu Montefiore Community Center, Inc.",718.652-1471,HS,"3400 Reservoir Oval10467
(40.878775054922, -73.875633562586)",40.878889,-73.87581,7,11,423,"2,018,218","2,033,430,185",Norwood                                                                    
Jobs & Internships,Out-of-School Youth Employment (OSY),Brooklyn Job Corps Academy,585 DeKalb Avenue,Brooklyn,11205,Arbor Employment and Training,718.623.4031,16 to 21,"585 DeKalb Avenue11205
(40.691240660643, -73.952776188341)",40.691223,-73.952765,3,33,241,"3,049,016","3,017,640,001",Bedford                                                                    
Jobs & Internships,Out-of-School Youth Employment (OSY),Opportunities for a Better Tomorrow,783 4th Avenue,Brooklyn,11232,Opportunities for a Better Tomorrow,718.369.0303,16 to 21,"783 4th Avenue11232
(40.659289154121, -73.999107468615)",40.65927,-73.999268,7,38,101,"3,009,757","3,006,610,005",Sunset Park West                                                           
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Childrens Arts & Science Workshops, Inc. -Bx",229A East 204th Street,Bronx,10458,"Childrens Arts & Science Workshops, Inc. -Bx",718-220-4444,14 to 24,"229A 204th Street10458
(40.862601328688, -73.884790015047)",40.874409,-73.885314,7,11,413,"2,090,492","2,033,110,152",Bedford Park-Fordham North                                                 
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Inwood Community Services, Inc.","651 Academy Street , Top Flr",Manhattan,10034,"Inwood Community Services, Inc.",212-942-0043 ,14 to 24,"651 Academy Street
Top Flr 10034
(40.866018005307, -73.924772644837)",40.866001,-73.924777,12,10,291,"1,081,917","1,022,340,001",Marble Hill-Inwood                                                         
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - LaGuardia CC,29-10 Thomson Avenue Rm C,Queens,11101,Research Foundation of CUNY - LaGuardia CC,718-482-5340,14 to 24,"29 10 Thomson Avenue
Rm C 11101
(40.745702449808, -73.938669029252)",40.745216,-73.937602,2,26,1,"4,003,516","4,002,730,001",Hunters Point-Sunnyside-West Maspeth                                       
Jobs & Internships,In-School Youth Employment (ISY),Hellenic American Neighborhood Action Committee (HANAC),23-16 30th Avenue,Queens,11102,Hellenic American Neighborhood Action Committee (HANAC),212.840.8005,,"23 16 30th Avenue11102
(40.771524024514, -73.926435450735)",40.76916,-73.926258,1,22,73,"4,436,861","4,005,720,032",Old Astoria                                                                
Jobs & Internships,Out-of-School Youth Employment (OSY),Medgar Evers College,1150 Carroll Street,Brooklyn,11225,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6474,16 to 21,"1150 Carroll Street11225
(40.667238309257, -73.952271441436)",40.667253,-73.952195,9,35,321,"3,337,869","3,012,890,025",Crown Heights South                                                        
Jobs & Internships,Youth Employment,Afrikan Poetry Theatre ,176-03 Jamaica Avenue,Queens,11432,Afrikan Poetry Theatre,718.523.3312,MS/HS,"176 03 Jamaica Avenue11432
(40.71311535449, -73.792820999789)",40.707941,-73.784233,12,27,468,"4,209,975","4,098,120,008",Jamaica                                                                    
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Henry Street Settlement, Inc. - Vulnerable Youth","265 Henry Street ,",Manhattan,10002,"Henry Street Settlement, Inc. - Vulnerable Youth",212-254-3100,14 to 24,"265 Henry Street10002
(40.713875617781, -73.984342988978)",40.713857,-73.984532,3,1,202,"1,079,627","1,002,880,078",Lower East Side                                                            
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 72 - Catherine & Count Basie School,133-25 Guy R. Brewer Boulevard,Queens,11434,Queens Child Guidance Center,718.651.7770,,"133 25 Guy R Brewer Boulevard11434
(40.676945262114, -73.775306901692)",40.673769,-73.775951,12,28,"33,402","4,270,059","4,124,950,270",Springfield Gardens North                                                  
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Helen's House & Youth Center,"301 Henry Street ,",Manhattan,10002,"Henry Street Settlement, Inc. - Manhattan ",212-254-3100  ,14 to 24,"301 Henry Street10002
(40.71399949306, -73.983398773047)",40.714054,-73.982797,3,1,202,"1,003,737","1,002,880,021",Lower East Side                                                            
Jobs & Internships,In-School Youth Employment (ISY),Family Preservation Center/MBCS,1125 Grand Concourse,Bronx,10452,"Mid-Bronx Council Services, Inc.",718.588.8200,,"1125 Grand
Concourse 10452
(40.837724263364, -73.923332211412)",40.832627,-73.919398,4,16,195,"2,002,893","2,024,720,034",West Concourse                                                             
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Betances Community Center,545 East 146th Street ,Bronx,10455,"Aspira of New York, Inc.",212-585 -5040,14 to 24,"545 146th Street10455
(40.812738163622, -73.915310368294)",40.812684,-73.915213,1,8,43,"2,093,912","2,022,720,038",Mott Haven-Port Morris                                                     
Jobs & Internships,Youth Employment,BCA Education Center ,5000 8th Avenue,Brooklyn,11220,Brooklyn Chinese American Association,718.438.9312,MS/HS,"5000 8th Avenue11220
(40.641104606526, -74.003759923935)",40.641036,-74.003809,7,38,108,"3,013,418","3,007,940,039",Sunset Park East                                                           
Jobs & Internships,In-School Youth Employment (ISY),South Bronx Overall Economic Development Corp.,"555 Bergen Avenue , 3rd Fl.",Bronx,10455,South Bronx Overall Economic Development Corp.,718.292.3113,,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",40.815959,-73.916354,1,17,71,"2,097,027","2,022,940,002",Melrose South-Mott Haven North                                             
Jobs & Internships,Adult Employment,West Harlem,500 W. 134th Street,New York,10027,Community Impact/Columbia University,212.854.2617,,"500 134th Street10027
(40.811549564461, -73.952900335682)",40.818283,-73.952856,9,7,219,"1,059,742","1,019,870,036",Manhattanville                                                             
Jobs & Internships,Youth Employment,Queens Community Resource Center ,159-17 Hillside Avenue,Queens,11432,Covenant House/Under 21,718.725.9851,HS,"159 17 Hillside Avenue11432
(40.71311535449, -73.792820999789)",40.707793,-73.802545,8,24,"44,602","4,209,068","4,097,690,089",Jamaica                                                                    
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Council of Jewish Organizations of Flatbush, Inc.",1550 Coney Island Avenue,Brooklyn,11230,"Council of Jewish Organizations of Flatbush, Inc.",718-252-4446,14 to 24,"1550 Coney Island Avenue11230
(40.619697574375, -73.964314154293)",40.619517,-73.964188,12,44,454,"3,171,988","3,065,460,011",Ocean Parkway South                                                        
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Youth Education Thru Sports,646 Malcolm X Blvd,Manhattan,10037,New York City Mission Society,212-368-8400,14 to 24,"646 Malcolm X Blvd10037
(40.818574610432, -73.937465443105)",40.818813,-73.937414,10,9,214,"1,081,458","1,017,400,001",Central Harlem North-Polo Grounds                                          
Jobs & Internships,Youth Employment,Police Athletic League PAL-Webster Center ,2255 Webster Avenue,Bronx,10457,"Police Athletic League, Inc.",212.477.9450,,"2255 Webster Avenue10457
(40.855630916719, -73.896023210038)",40.855656,-73.895978,5,15,"38,302","2,013,329","2,031,430,203",Fordham South                                                              
Jobs & Internships,Adult Employment,BCA Education Center,5006 8th Avenue,Brooklyn,11220,Brooklyn Chinese American Association,718.438.9312,,"5006 8th Avenue11220
(40.641074069955, -74.003795118627)",40.641014,-74.003834,7,38,108,"3,013,419","3,007,940,041",Sunset Park East                                                           
Jobs & Internships,In-School Youth Employment (ISY),Public School 80 - The Michael J. Petrides School,715 Ocean Terrace,Staten Island,10301,"Police Athletic League, Inc.",212.477.6504,,"715 Ocean Terrace10301
(40.607458917131, -74.101488293171)",40.608517,-74.102078,2,50,177,"5,113,169","5,006,830,001",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
Jobs & Internships,Youth Employment,"STEPS, Inc ",1325 5th Avenue,New York,10029,"Support For Training and Educational Services, Inc.",212.831.9080,,"1325 5th Avenue10029
(40.797578953153, -73.948664533901)",40.797706,-73.948608,11,9,"17,402","1,086,046","1,016,170,001",East Harlem South                                                          
Jobs & Internships,In-School Youth Employment (ISY),Citizens Advice Bureau/Girls Club of New York,1130 Grand Concourse,Bronx,10456,"Citizens Advice Bureau, Inc.",718.365.0910,,"1130 Grand
Concourse 10456
(40.830436680009, -73.907765199504)",40.832331,-73.91959,4,16,"18,102","2,002,833","2,024,620,042",East Concourse-Concourse Village                                           
