PROGRAM TYPE,PROGRAM,SITE NAME,Address,BOROUGH / COMMUNITY,Postcode,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,Latitude,Longitude,Community Board,Community Council ,Census Tract,BIN,BBL,NTA
Jobs & Internships,In-School Youth Employment (ISY),"Sunnyside Community Service, Inc.",43-31 39th Street,Queens,11104,"Sunnyside Community Service, Inc.",718.784.6173,,"43 31 39th Street11104
(40.744893366636, -73.920541345307)",40.74519,-73.925909,2,26,179,"4,436,677","4,001,910,005",Hunters Point-Sunnyside-West Maspeth                                       
Jobs & Internships,Youth Employment,Bnos Yakov Educational Center,62 Harrison Avenue,Brooklyn,11211,Bnos Yakov Educational Center,718.963.1212,MS/HS,"62 Harrison Avenue11211
(40.705097775655, -73.952713601158)",40.704892,-73.952445,1,33,529,"3,060,902","3,022,200,038",Williamsburg                                                               
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Manhattan,350 Livingston Street,Manhattan,10007,New York City Housing Authority - Manhattan,212-306-3985,14 to 24,"350 Livingston Street10007
(40.713630519433, -74.009131383706)",40.71363052,-74.00913138,,,,,,
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PS 35/1232,905 Winthrop Street Rm 127,Brooklyn,11203,"Sesame Flyers International, Inc.",718-221-8880 ,14 to 24,"905 Winthrop Street11203
(40.658451422174, -73.929131359882)",40.65843,-73.929076,17,41,880,"3,099,733","3,046,060,025",Prospect Lefferts Gardens-Wingate                                          
Jobs & Internships,Adult Employment,South Bronx Overall Economic Development Corporation,555 Bergen Avenue - 3rd floor,Bronx,10455,South Bronx Overall Economic Development Corp.,718.585.2600,,"555 Bergen Avenue10455
(40.815944415254, -73.916415911483)",40.81594442,-73.91641591,,,,,,
Jobs & Internships,Adult Employment,Turning Point,5220 Fourth Avenue,Brooklyn,11220,Turning Point,718.439.0077,,"5220 Fourth Avenue11220
(40.645290640072, -74.013956489484)",40.645191,-74.013924,7,38,76,"3,013,857","3,008,060,046",Sunset Park West                                                           
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"East Harlem Employment Services, Inc. STRIVE","240 East 123rd Street, 3rd FL",Manhattan,10035,"East Harlem Employment Services, Inc. STRIVE",212-360-1100,14 to 24,"240 123rd Street10035
(40.801631007365, -73.935035566046)",40.801647,-73.935017,11,8,194,"1,054,629","1,017,870,080",East Harlem North                                                          
Jobs & Internships,In-School Youth Employment (ISY),Christopher Columbus High School - H.S. 415,"925 Astor Avenue, Bronx",Bronx,10469,"Henkels & McCoy, Inc.",800.622.5577,,"925 Astor Avenue
Bronx 10469
(40.859680011814, -73.861062565319)",40.859665,-73.861006,11,13,324,"2,050,179","2,043,580,001",Bronxdale                                                                  
Jobs & Internships,Out-of-School Youth Employment (OSY),"Chinatown Manpower Project, Inc.",70 Mulberry Street 3rd flr,New York,10013,"Chinatown Manpower Project, Inc.",212.571.1690,16 to 21,"70 Mulberry Street10013
(40.716141909295, -73.999172809241)",40.716092,-73.999203,3,1,29,"1,066,494","1,002,000,001",Chinatown                                                                  
"Jobs & Internships, Youth Employment",Summer Youth Employment ,SCO Family of Services,345 43rd Street,Brooklyn,11232,SCO Family of Services,718-788-3500 ,14 to 24,"345 43rd Street11232
(40.651038320789, -74.009513156888)",40.651013,-74.009514,7,38,82,"3,337,160","3,007,230,025",Sunset Park West                                                           
Jobs & Internships,Youth Employment,The Children's Aid Society,885 Columbus Avenue,New York,10025,The Children's Aid Society,212.865.6337,HS,"885 Columbus Avenue10025
(40.797713348632, -73.963944750805)",40.797762,-73.963944,7,7,189,"1,081,301","1,018,360,001",Upper West Side                                                            
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Woodycrest Center For Human Development,153 West 165th Street,Bronx,10452,Woodycrest Center For Human Development,718-992-4256,14 to 24,"153 165th Street10452
(40.83108457688, -73.920857534442)",40.834544,-73.928932,4,8,193,"2,003,478","2,025,260,034",Highbridge                                                                 
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Edith and Carl Marks Jewish Community House of Bensonhurst,7802 Bay Parkway,Brooklyn,11214,Edith and Carl Marks Jewish Community House of Bensonhurst,718-331-6800 x112,14 to 24,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",40.606369,-73.989235,11,44,270,"3,162,352","3,062,640,030",Bensonhurst West                                                           
Jobs & Internships,Youth Employment,Flatbush Development Corporation,1616 Newkirk Avenue,Brooklyn,11226,Flatbush Development Corporation,718.859.3800,MS/HS,"1616 Newkirk Avenue11226
(40.63599627408, -73.962302128878)",40.63604,-73.962241,14,40,518,"3,121,203","3,052,370,006",Flatbush                                                                   
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Alianza Mosaic Beacon,"125 W 166th St, 1st flr",Bronx,10452,"Alianza Dominicana, Inc. - Bronx",917-258-3731,14 to 24,"125 166th St
flr 10452
(40.832222907688, -73.920620687891)",40.835377,-73.927103,4,16,199,"2,003,279","2,025,140,077",Highbridge                                                                 
Jobs & Internships,In-School Youth Employment (ISY),"Jacob A. Riis Neighborhood Settlement, Inc.",10-25 41st Avenue,Queens,11101,"Jacob A. Riis Neighborhood Settlement, Inc.",718.744.7447,,"10 25 41st Avenue11101
(40.745702449808, -73.938669029252)",40.755488,-73.945328,1,26,25,"4,433,386","4,004,700,100",Queensbridge-Ravenswood-Long Island City                                   
Jobs & Internships,In-School Youth Employment (ISY),East Harlem Council For Community Improvement,413 East 120th Street,New York,10035,East Harlem Council For Community Improvement,212.410.7707,,"413 120th Street10035
(40.798463980235, -73.933202998449)",40.798371,-73.932987,11,8,192,"1,054,888","1,018,080,008",East Harlem North                                                          
Jobs & Internships,In-School Youth Employment (ISY),Public School 314 - Luis Munoz Marin Elementary School,330 59th Street,Brooklyn,11220,SCO Family of Services,516.671.1253,,"330 59th Street11220
(40.642201614799, -74.019175801725)",40.642121,-74.018997,7,38,74,"3,016,258","3,008,620,012",Sunset Park West                                                           
Jobs & Internships,Out-of-School Youth Employment (OSY),The Door - A Center of Alternatives,121 Avenue of the Americas,New York,10013,The Door - A Center of Alternatives,212.941.9090,16 to 21,"121 Avenue
of the Americas 10013
(40.721242188776, -74.008889000227)",40.723903,-74.00469,2,3,37,"1,083,493","1,004,777,501",SoHo-TriBeCa-Civic Center-Little Italy                                     
Jobs & Internships,Youth Employment,"Mid-Bronx Council Services, Inc.",1125 Grand Concourse,Bronx,10452,"Mid-Bronx Council Services, Inc.",718.588.8200,HS,"1125 Grand
Concourse 10452
(40.837724263364, -73.923332211412)",40.832627,-73.919398,4,16,195,"2,002,893","2,024,720,034",West Concourse                                                             
Jobs & Internships,In-School Youth Employment (ISY),P.S. 138,760 Prospect Place,Brooklyn,11216,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,,"760 Prospect Place11216
(40.674353675202, -73.9514119617)",40.67438,-73.951443,8,36,"31,701","3,330,794","3,012,330,026",Crown Heights North                                                        
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"El Barrio's Operation Fightback, Inc.",320 Pleasant Avenue,Manhattan,10035,"El Barrio's Operation Fightback, Inc.",212-410-7900,14 to 24,"320 Pleasant Avenue10035
(40.795839827532, -73.932604992632)",40.795824,-73.932581,11,8,178,"1,053,170","1,017,160,001",East Harlem North                                                          
Jobs & Internships,In-School Youth Employment (ISY),"Bronx School for Law, Government & Justice - H.S. 505",244 East 163rd Street,Bronx,10451,"Federation Employment and Guidance Service, Inc.",212.366.8441,,"244 163rd Street10451
(40.827557580707, -73.91861304157)",40.827607,-73.918681,4,16,"18,302","2,109,459","2,024,450,006",East Concourse-Concourse Village                                           
Jobs & Internships,In-School Youth Employment (ISY),East NY Development Corporation,2644 Atlantic Avenue,Brooklyn,11207,East NY Development Corporation,718.566.2129,,"2644 Atlantic Avenue11207
(40.675655262304, -73.896752975273)",40.675744,-73.896644,5,37,"1,198","3,326,728","3,036,870,012",East New York                                                              
Jobs & Internships,In-School Youth Employment (ISY),United Activities Unlimited @ PS 18 Beacon,221 Broadway,Staten Island,10310,"United Activities Unlimited, Inc.",718.987.8111,,"221 Broadway10310
(40.636039309097, -74.117473690981)",40.636587,-74.117509,1,49,105,"5,004,877","5,001,760,010",New Brighton-Silver Lake                                                   
Jobs & Internships,Youth Employment,Police Athletic League (Brownsville Beacon),985 Rockaway Avenue,Brooklyn,11212,"Police Athletic League, Inc.",212.477.9450,,"985 Rockaway Avenue11212
(40.656451255408, -73.907322828305)",40.656068,-73.907245,16,42,922,"3,082,940","3,036,360,007",Brownsville                                                                
Jobs & Internships,Out-of-School Youth Employment (OSY),"Sunnyside Community Services, Inc.",43-31 39th Street,Queens,11104,"Sunnyside Community Service, Inc.",718.784.6173 ext. 429,16 to 21,"43 31 39th Street11104
(40.744893366636, -73.920541345307)",40.74519,-73.925909,2,26,179,"4,436,677","4,001,910,005",Hunters Point-Sunnyside-West Maspeth                                       
Jobs & Internships,In-School Youth Employment (ISY),Public School 346 - Abe Stark Elementary School,1400 Pennsylvania Avenue,Brooklyn,11239,Italian American Civil Rights League (Italian American Civil,718.642.2857,,"1400 Pennsylvania Avenue11239
(40.647521749912, -73.881546762442)",40.64726,-73.881114,5,42,"105,804","3,098,294","3,044,520,025",Starrett City                                                              
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Police Athletic League, Inc. - Vulnerable Youth",34 1/2 East 12th Street,Manhattan,10003,"Police Athletic League, Inc. - Vulnerable Youth",718-389-5309,14 to 24,"34 1 2 East 12th Street10003
(40.734434119371, -73.994010700793)",40.733809,-73.992549,2,2,61,"1,009,129","1,005,630,020",West Village                                                               
Jobs & Internships,Adult Employment,"Civic Association Serving Harlem, Inc",356 West 123rd Street,New York,10027,"Civic Association Serving Harlem, Inc",212.864.5850,,"356 123rd Street10027
(40.809616535299, -73.953990415546)",40.809673,-73.954061,10,9,257,"1,059,252","1,019,490,058",Central Harlem South                                                       
Jobs & Internships,Youth Employment,"Jacob A. Riis Neighborhood Settlement, Inc.",10-25 41st Avenue,Long Island  City,11101,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,HS,"10 25 41st Avenue11101
(40.745702449808, -73.938669029252)",40.755488,-73.945328,1,26,25,"4,433,386","4,004,700,100",Queensbridge-Ravenswood-Long Island City                                   
Jobs & Internships,Youth Employment,Italian American Civil Rights League (Italian American Civil),1460 Pennsylvania Avenue,Brooklyn,11239,Italian American Civil Rights League (Italian American Civil),718.642.2180,HS,"1460 Pennsylvania Avenue11239
(40.646077795287, -73.879950181902)",40.646068,-73.879786,5,42,"105,804","3,340,241","3,044,520,020",Starrett City                                                              
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Colony South Brooklyn Houses,297 Dean Street,Brooklyn,11217,Colony South Brooklyn Houses,718-643-2930,14 to 24,"297 Dean Street11217
(40.684294153023, -73.982115834364)",40.684309,-73.982192,2,33,39,"3,001,188","3,001,910,041",DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Jobs & Internships,Youth Employment,Woodycrest Center,153 West 165th Street,Bronx,10452,Woodycrest Center For Human Development,718.992.2178,All grades,"153 165th Street10452
(40.83108457688, -73.920857534442)",40.834544,-73.928932,4,8,193,"2,003,478","2,025,260,034",Highbridge                                                                 
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Rockaway Development & Revitalization Corporation,"1920 Mott Avenue , 2nd Fl",Queens,11691,Rockaway Development & Revitalization Corporation,718-327-5300 ,14 to 24,"1920 Mott Avenue11691
(40.603879525424, -73.752178931552)",40.603907,-73.752262,14,31,"103,202","4,457,760","4,155,590,012",Far Rockaway-Bayswater                                                     
Jobs & Internships,Youth Employment,Rafael Academy School ,977 Fox Street,Bronx,10459,"Simpson Street Development Association, Inc.",718.589.1510,MS/HS,"977 Fox Street10459
(40.822428225918, -73.89392410103)",40.822443,-73.893902,2,17,159,"2,005,660","2,027,140,004",Hunts Point                                                                
Jobs & Internships,Out-of-School Youth Employment (OSY),"Henkels & McCoy, Inc.",29-10 Thomson Avenue,Queens,11101,CUNY Catch at LaGuardia Community College,917.856.2368,16 to 21,"29 10 Thomson Avenue11101
(40.745702449808, -73.938669029252)",40.745216,-73.937602,2,26,1,"4,003,516","4,002,730,001",Hunters Point-Sunnyside-West Maspeth                                       
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Church Avenue Merchants Block Association, Inc.",2211 Church Avenue,Brooklyn,11226,"Church Avenue Merchants Block Association, Inc.",718-462-2597 ,14 to 24,"1957 Nostrand Ave11210
(40.63792479299, -73.948168194715)",40.650424,-73.958175,14,40,"79,602","3,116,881","3,050,890,071",Prospect Lefferts Gardens-Wingate                                          
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Hellenic American Neighborhood Action Committee (HANAC),23-16 30th Ave 3rd flr,Queens,11102,Hellenic American Neighborhood Action Committee (HANAC),718-204-2325 ,14 to 24,"23 16 30th Ave
flr 11102
(40.771524024514, -73.926435450735)",40.76916,-73.926258,1,22,73,"4,436,861","4,005,720,032",Old Astoria                                                                
Jobs & Internships,Adult Employment,"Jewish Services Coalition, Inc",1525 Central Avenue,Queens,11691,"Jewish Services Coalition, Inc",718.327.6060,,"1525 Central Avenue11691
(40.605662356989, -73.751324611595)",40.605645,-73.751391,14,31,"103,202","4,298,051","4,155,450,023",Far Rockaway-Bayswater                                                     
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Vannguard Urban Improvement Association, Inc. - ",141 Macon Street,Brooklyn,11216,"Vannguard Urban Improvement Association, Inc. - ",718-453-3330 ,14 to 24,"141 Macon Street11216
(40.681569834988, -73.945596139676)",40.681572,-73.945446,3,36,269,"3,053,075","3,018,450,001",Bedford                                                                    
Jobs & Internships,In-School Youth Employment (ISY),Middle School 2,655 Parkside Avenue,Brooklyn,11226,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6908,,"655 Parkside Avenue11226
(40.656196817443, -73.951584929787)",40.656183,-73.951583,9,40,802,"3,378,201","3,050,500,051",Prospect Lefferts Gardens-Wingate                                          
Jobs & Internships,Youth Employment,"Riverdale Neighborhood House, Inc.",5521 Mosholu Avenue,Bronx,10471,"Riverdale Neighborhood House, Inc.",718.549.8100,HS,"5521 Mosholu Avenue10471
(40.902965724328, -73.9038424045)",40.903039,-73.90375,8,11,337,"2,119,685","2,058,501,585",North Riverdale-Fieldston-Riverdale                                        
Jobs & Internships,Out-of-School Youth Employment (OSY),New York Center for Interpersonal Development ,120 Stuyvesant Place,Staten Island,10301,New York Center for Interpersonal Development ,718.947.4051,16 to 21,"120 Stuyvesant Place10301
(40.643095488653, -74.07704808233)",40.642992,-74.076954,1,49,3,"5,000,084","5,000,080,060",West New Brighton-New Brighton-St. George                                  
"Jobs & Internships, Youth Employment",Summer Youth Employment ,PAL-Foster Laurie Center,199-10 11th Ave,Queens,11412,"Police Athletic League, Inc. - Queens ",718-389-5309,14 to 24,"199 10 11th Ave11412
(40.698127117473, -73.759235198346)",40.69812712,-73.7592352,,,,,,
Jobs & Internships,Out-of-School Youth Employment (OSY),YWCA of Queens,42-07 Parsons Boulevard,Queens,11355,YWCA of Queens,718.353.4553,16 to 21,"42 07 Parsons Boulevard11355
(40.751299796948, -73.821478547897)",40.757857,-73.819077,7,20,861,"4,583,346","4,053,750,006",East Flushing                                                              
"Jobs & Internships, Youth Employment",Summer Youth Employment ,New York City Housing Authority - Brooklyn,350 Livingston Street,Brooklyn,10007,New York City Housing Authority - Brooklyn,212-306-3985,14 to 24,"350 Livingston Street10007
(40.713630519433, -74.009131383706)",40.71363052,-74.00913138,,,,,,
Jobs & Internships,In-School Youth Employment (ISY),Bais Yaakov Academy,2 Franklin Street,Brooklyn,11222,National Society For Hebrew Day Schools,212.227.1000,,"2 Franklin Street11222
(40.724266481648, -73.957683348145)",40.724354,-73.957695,1,33,561,"3,065,473","3,026,130,001",Greenpoint                                                                 
Jobs & Internships,In-School Youth Employment (ISY),Italian American Civil Rights League (Italian American Civil,1460 Pennsylvania Avenue,Brooklyn,11239,Italian American Civil Rights League (Italian American Civil,718.642.2857,,"1460 Pennsylvania Avenue11239
(40.646077795287, -73.879950181902)",40.646068,-73.879786,5,42,"105,804","3,340,241","3,044,520,020",Starrett City                                                              
Jobs & Internships,Out-of-School Youth Employment (OSY),Career Development Institute,412-434 East 147th Street,Bronx,10455,Federation Employment & Guidance Services (FEGS),718.742.3499,16 to 21,"412 434 East 147th Street10455
(40.813535754971, -73.905355252043)",40.814478,-73.918076,1,8,43,"2,000,506","2,022,910,012",Mott Haven-Port Morris                                                     
Jobs & Internships,In-School Youth Employment (ISY),"Mosholu Montefiore Community Center, Inc.",3450 Dekalb Avenue,Bronx,10467,"Mosholu Montefiore Community Center, Inc.",718.882.4000,,"3400 Reservoir Oval10467
(40.878775054922, -73.875633562586)",40.881486,-73.881226,7,11,421,"2,096,396","2,033,270,001",Norwood                                                                    
Jobs & Internships,In-School Youth Employment (ISY),Franklin K. Lane High School - H.S. 420,999 Jamaica Avenue,Brooklyn,11208,Cypress Hills Local Development Corporation,718.647.2800,,"999 Jamaica Avenue11208
(40.690728527416, -73.870165673629)",40.691146,-73.868328,5,37,"1,180","3,090,738","3,040,940,001",park-cemetery-etc-Brooklyn                                                 
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Franklin K. Lane High School,999 Jamaica Avenue,Brooklyn,11208,Cypress Hills Local Development Corporation,718-235-1521 x103,14 to 24,"999 Jamaica Avenue11208
(40.690728527416, -73.870165673629)",40.691146,-73.868328,5,37,"1,180","3,090,738","3,040,940,001",park-cemetery-etc-Brooklyn                                                 
Jobs & Internships,In-School Youth Employment (ISY),Foster-Laurie,199-10 112th Avenue,Queens,11412,"Police Athletic League, Inc.",212.477.6504,,"199 10 112th Avenue11412
(40.698127117473, -73.759235198346)",40.702514,-73.756595,12,27,520,"4,235,252","4,109,750,001",St. Albans                                                                 
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Italian American Civil Rights League,1460 Pennsylvania Avenue 1B,Brooklyn,11239,Italian American Civil Rights League,718-642-2180 ,14 to 24,"1460 Pennsylvania Avenue11239
(40.646077795287, -73.879950181902)",40.646068,-73.879786,5,42,"105,804","3,340,241","3,044,520,020",Starrett City                                                              
Jobs & Internships,In-School Youth Employment (ISY),Ridgewood Bushwick Youth Center,1474 Gates Avenue,Brooklyn,11237,"Ridgewood Bushwick Senior Citizens Council, Inc.",718.381.9653,,"1474 Gates Avenue11237
(40.697840308647, -73.913832482461)",40.697788,-73.913906,4,37,433,"3,387,654","3,033,440,016",Bushwick North                                                             
Jobs & Internships,Out-of-School Youth Employment (OSY),Opportunities for a Better Tomorrow-North,25 Thornton Street,Brooklyn,11206,Opportunities for a Better Tomorrow,718.369.0303,16 to 21,"25 Thornton Street11206
(40.700912589288, -73.943900574878)",40.701018,-73.943699,1,33,507,"3,061,498","3,022,750,021",Bedford                                                                    
Jobs & Internships,Adult Employment,Citizens Advice Bureau Bronx Works ,391 East 149th Street,Bronx,10455,"Citizens Advice Bureau, Inc.",718.293.0727,,"391 149th Street10455
(40.816295496167, -73.918202482452)",40.816205,-73.918153,1,17,65,"2,000,859","2,023,280,025",Melrose South-Mott Haven North                                             
Jobs & Internships,Youth Employment,William H. Taft High School - H.S. 410 ,240 East 172nd Street,Bronx,10457,Woodycrest Center For Human Development,718.992.2178,All grades,"240 172nd Street10457
(40.84038797721, -73.910881644448)",40.840422,-73.91091,4,16,225,"2,007,806","2,028,170,002",East Concourse-Concourse Village                                           
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Harlem Commonwealth Council Inc - Vulnerable Youth,361 West 125 St,Manhattan,10027,Harlem Commonwealth Council Inc - Vulnerable Youth,212-749-0900 ,14 to 24,"361 125 St10027
(40.810931028148, -73.952894165867)",40.810952,-73.953005,9,9,"20,901","1,059,308","1,019,520,009",Morningside Heights                                                        
Jobs & Internships,Youth Employment,ECDO Community Partnership Center ,413 West 125th Street,New York,10027,Ecumenical Community Development Organization,212.678.0037,HS,"413 125th Street10027
(40.811706778839, -73.954731383002)",40.81168,-73.954703,9,7,"20,901","1,059,548","1,019,660,066",Morningside Heights                                                        
Jobs & Internships,In-School Youth Employment (ISY),Chinese American Planning Council,136-18 39th Avenue,Queens,11354,Chinese American Planning Council,212.941.0920,,"136 18 39th Avenue11354
(40.768620220647, -73.827190280707)",40.76033,-73.829831,7,20,871,"4,112,492","4,049,800,011",Flushing                                                                   
Jobs & Internships,Youth Employment,Intermediate School 232 - WInthrop School,905 Winthrop Street,Brooklyn,11203,"Sesame Flyers International, Inc.",718.693.0500,HS,"905 Winthrop Street11203
(40.658451422174, -73.929131359882)",40.65843,-73.929076,17,41,880,"3,099,733","3,046,060,025",Prospect Lefferts Gardens-Wingate                                          
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Research Foundation of CUNY - Medgar Evers College,"1155 Carroll Street ,",Brooklyn,11225,Research Foundation of CUNY - Medgar Evers College,718-270-6152,14 to 24,"1155 Carroll Street11225
(40.667224464013, -73.95102489964)",40.667222,-73.951337,9,35,321,"3,033,543","3,012,820,051",Crown Heights South                                                        
Jobs & Internships,Youth Employment,Lt. Joseph P. Kennedy Jr. Memorial Community Center,34 West 134th Street,New York,10037,"Catholic Charities Community Service, Archdiocese of N.Y.",212.371.1000,HS,"34 134th Street10037
(40.812690673719, -73.939718767467)",40.812702,-73.939645,10,9,212,"1,083,984","1,017,300,016",Central Harlem North-Polo Grounds                                          
Jobs & Internships,In-School Youth Employment (ISY),Rockaway Development & Revitalization Corporation,1920 Mott Avenue,Queens,11691,Rockaway Development & Revitalization Corporation,718.327.5300,,"1920 Mott Avenue11691
(40.603879525424, -73.752178931552)",40.603907,-73.752262,14,31,"103,202","4,457,760","4,155,590,012",Far Rockaway-Bayswater                                                     
"Jobs & Internships, Youth Employment",Summer Youth Employment ,"Queens Community House, Inc.",108-25 62nd Drive,Queens,11375,"Queens Community House, Inc.",718-592-5757 ,14 to 24,"108 25 62nd Drive11375
(40.72070726303, -73.846284296083)",40.73591,-73.850212,6,29,745,"4,432,108","4,021,590,002",Forest Hills                                                               
"Jobs & Internships, Youth Employment",Summer Youth Employment ,Chinese American Planning Council - Brooklyn ,41-08 8th Avenue,Brooklyn,11232,Chinese American Planning Council - Brooklyn ,718-492-0409 x310,14 to 24,"41 08 8th Avenue11232
(40.654511617018, -74.000033929122)",40.646048,-73.998595,7,38,92,"3,018,181","3,009,220,036",Sunset Park East                                                           
Jobs & Internships,In-School Youth Employment (ISY),Public School 14 - Cornelius Vanderbilt Elementary School,100 Tompkins Avenue,Staten Island,10304,"Police Athletic League, Inc.",212.477.6504,,"100 Tompkins Avenue10304
(40.622148795416, -74.078376875268)",40.622455,-74.078508,1,49,29,"5,014,176","5,005,450,110",Stapleton-Rosebank                                                         
