"Date","Daily_Case","Daily_Hospitalized","Case_7days_avg","BX_Case","BX_Hospitalized","BK_Case","BK_Hospitalized","MN_Case","MN_Hospitalized","QN_Case","QN_Hospitalized","SI_Case","SI_Hospitalized","Year","Month","Day"
2021-06-19,107,13,158,18,4,29,2,22,1,24,3,14,3,2021,19,6
2021-06-20,97,26,155,15,4,33,10,14,2,26,8,9,2,2021,20,6
2021-06-21,169,29,154,27,7,41,9,25,4,50,5,26,5,2021,21,6
2021-06-22,171,34,152,22,3,50,7,33,3,49,14,17,7,2021,22,6
2021-06-23,188,24,154,28,3,48,11,39,3,48,6,24,1,2021,23,6
2021-06-24,175,14,152,18,1,51,8,30,1,47,2,29,2,2021,24,6
2021-06-25,180,18,155,12,4,61,8,28,2,55,4,24,0,2021,25,6
2021-06-26,118,18,157,11,4,37,7,15,2,31,2,24,3,2021,26,6
2021-06-27,110,23,159,17,3,29,7,19,3,23,10,22,0,2021,27,6
2021-06-28,206,26,164,29,3,49,8,45,5,53,8,30,3,2021,28,6
2021-06-29,213,23,170,32,1,52,8,43,6,51,8,35,0,2021,29,6
2021-06-30,225,21,175,30,3,74,7,43,4,51,6,27,1,2021,30,6
2021-07-01,205,31,180,27,3,63,10,29,3,53,7,33,8,2021,1,7
2021-07-02,232,36,187,32,7,60,13,61,5,58,8,21,5,2021,2,7
2021-07-03,146,21,191,18,3,41,5,29,5,33,5,25,4,2021,3,7
2021-07-04,124,24,193,14,1,32,9,25,5,34,8,19,2,2021,4,7
2021-07-05,187,15,190,20,3,62,5,32,3,53,4,20,1,2021,5,7
2021-07-06,361,24,211,47,3,125,8,77,3,80,5,32,5,2021,6,7
2021-07-07,400,23,236,49,2,146,9,73,3,88,7,44,2,2021,7,7
2021-07-08,367,25,260,50,5,110,9,80,3,81,5,46,3,2021,8,7
2021-07-09,370,37,279,56,5,110,8,84,8,88,14,32,2,2021,9,7
2021-07-10,238,20,292,37,2,63,6,49,3,59,9,30,0,2021,10,7
2021-07-11,267,27,313,32,8,79,6,53,2,78,11,25,1,2021,11,7
2021-07-12,475,25,354,69,7,176,10,86,2,109,6,35,0,2021,12,7
2021-07-13,459,26,368,43,6,152,7,103,3,97,8,64,3,2021,13,7
2021-07-14,547,47,389,59,11,184,13,144,7,114,15,46,2,2021,14,7
2021-07-15,553,28,416,70,2,172,9,128,6,129,9,54,2,2021,15,7
2021-07-16,556,37,442,73,7,184,17,121,3,117,10,61,1,2021,16,7
2021-07-17,340,37,457,59,11,109,8,60,5,77,9,35,6,2021,17,7
2021-07-18,393,38,475,36,6,141,19,83,4,104,6,29,4,2021,18,7
2021-07-19,811,53,523,110,9,276,19,176,8,171,16,78,3,2021,19,7
2021-07-20,706,53,558,94,7,230,21,162,8,146,14,74,4,2021,20,7
2021-07-21,893,47,607,128,10,306,13,198,6,198,15,63,5,2021,21,7
2021-07-22,972,52,667,136,15,326,17,227,6,195,11,88,4,2021,22,7
2021-07-23,917,51,719,127,9,319,18,200,6,215,15,55,5,2021,23,7
2021-07-24,552,42,749,58,5,188,14,111,7,141,11,54,5,2021,24,7
2021-07-25,635,41,784,68,8,212,10,119,7,169,12,67,4,2021,25,7
2021-07-26,1225,62,843,155,8,422,21,261,12,273,18,114,4,2021,26,7
2021-07-27,1199,72,913,141,16,406,23,254,7,295,19,103,7,2021,27,7
2021-07-28,1242,76,963,188,13,384,15,276,14,286,32,108,3,2021,28,7
2021-07-29,1289,76,1008,174,11,444,21,234,14,318,18,119,13,2021,29,7
2021-07-30,1280,80,1060,160,18,428,20,251,11,318,28,123,3,2021,30,7
2021-07-31,850,70,1103,126,8,263,29,152,7,214,20,95,7,2021,31,7
2021-08-01,830,48,1131,92,10,294,17,151,5,220,15,73,3,2021,1,8
2021-08-02,1567,75,1180,237,9,517,26,303,9,388,26,122,6,2021,2,8
2021-08-03,1582,99,1234,231,18,489,28,345,10,365,31,152,13,2021,3,8
2021-08-04,1607,89,1286,214,12,519,39,329,9,380,18,165,13,2021,4,8
2021-08-05,1527,89,1320,208,20,518,23,322,19,365,25,114,3,2021,5,8
2021-08-06,1576,115,1363,211,20,520,40,285,17,419,28,141,11,2021,6,8
2021-08-07,1150,87,1406,179,18,373,28,179,12,294,21,125,8,2021,7,8
2021-08-08,1071,99,1440,155,19,321,25,162,16,301,29,131,10,2021,8,8
2021-08-09,1890,131,1486,289,29,625,46,308,16,495,41,172,0,2021,9,8
2021-08-10,1665,119,1498,265,36,535,34,306,16,407,29,152,6,2021,10,8
2021-08-11,1753,138,1519,262,29,546,40,354,12,439,38,151,19,2021,11,8
2021-08-12,1758,125,1552,232,22,578,38,324,20,451,32,172,15,2021,12,8
2021-08-13,1600,140,1555,266,30,499,48,294,16,394,40,145,7,2021,13,8
2021-08-14,1048,94,1541,145,18,348,30,206,12,253,20,96,16,2021,14,8
2021-08-15,1143,113,1551,140,15,420,42,198,24,304,25,81,8,2021,15,8
2021-08-16,1928,131,1556,328,27,626,45,352,15,479,42,143,7,2021,16,8
2021-08-17,1744,136,1568,296,32,595,41,301,17,418,35,133,13,2021,17,8
2021-08-18,1813,111,1576,273,24,555,36,362,16,460,24,162,12,2021,18,8
2021-08-19,1690,99,1567,264,20,543,30,325,13,419,25,136,10,2021,19,8
2021-08-20,1562,123,1561,285,36,505,34,296,18,349,25,125,11,2021,20,8
2021-08-21,1091,116,1567,180,26,338,34,183,19,272,33,118,4,2021,21,8
2021-08-22,719,107,1507,104,23,276,33,99,17,156,28,84,7,2021,22,8
2021-08-23,1951,120,1510,289,34,642,32,367,19,492,29,161,7,2021,23,8
2021-08-24,1833,108,1523,299,18,612,39,349,15,405,32,168,5,2021,24,8
2021-08-25,1784,111,1519,286,27,570,32,372,20,385,31,170,4,2021,25,8
2021-08-26,1643,104,1512,252,25,526,34,325,11,389,31,150,8,2021,26,8
2021-08-27,1449,109,1496,242,27,461,36,266,14,347,25,133,9,2021,27,8
2021-08-28,985,84,1481,172,13,297,26,152,14,252,30,112,3,2021,28,8
2021-08-29,989,92,1519,138,25,342,29,161,11,257,22,91,8,2021,29,8
2021-08-30,1836,122,1503,304,33,583,38,374,13,392,32,182,8,2021,30,8
2021-08-31,1622,124,1473,259,31,530,35,305,25,326,24,202,12,2021,31,8
2021-09-01,1558,130,1440,224,30,487,34,347,23,360,37,140,9,2021,1,9
2021-09-02,1431,93,1410,211,31,478,23,264,6,304,24,174,11,2021,2,9
2021-09-03,1421,78,1406,216,17,429,26,248,11,330,22,197,4,2021,3,9
2021-09-04,905,108,1395,126,22,255,37,154,13,260,32,110,6,2021,4,9
2021-09-05,951,76,1389,137,16,333,25,157,10,214,18,110,7,2021,5,9
2021-09-06,947,77,1262,164,18,275,25,181,11,229,21,98,6,2021,6,9
2021-09-07,1568,113,1254,285,19,433,34,307,26,370,27,171,7,2021,7,9
2021-09-08,1589,99,1259,234,22,464,30,370,21,389,25,132,3,2021,8,9
2021-09-09,1713,101,1299,241,38,630,27,313,12,400,19,129,8,2021,9,9
2021-09-10,1545,99,1317,232,26,503,30,302,11,377,27,131,6,2021,10,9
2021-09-11,1036,85,1336,139,14,335,29,169,12,288,22,104,8,2021,11,9
2021-09-12,1213,88,1373,127,14,504,30,222,14,258,26,102,6,2021,12,9
2021-09-13,1737,104,1486,223,15,633,35,370,24,389,21,122,9,2021,13,9
2021-09-14,1639,82,1496,201,12,608,31,310,20,372,16,147,6,2021,14,9
2021-09-15,1610,96,1499,232,13,550,36,320,7,353,30,152,11,2021,15,9
2021-09-16,1384,85,1452,191,21,451,22,284,11,321,27,135,7,2021,16,9
2021-09-17,1525,90,1449,174,13,560,29,322,19,365,26,104,5,2021,17,9
2021-09-18,956,87,1438,107,17,357,30,138,17,264,22,89,3,2021,18,9
2021-09-19,1057,71,1415,140,8,464,26,161,13,213,15,79,9,2021,19,9
2021-09-20,1638,100,1401,244,26,545,29,295,19,403,19,150,8,2021,20,9
2021-09-21,1302,87,1353,202,18,397,26,283,14,324,24,95,5,2021,21,9
2021-09-22,1416,97,1325,205,19,509,35,280,14,307,24,112,5,2021,22,9
2021-09-23,1288,101,1312,139,16,513,44,222,11,324,21,89,9,2021,23,9
2021-09-24,1223,82,1269,156,10,453,35,238,13,294,24,80,2,2021,24,9
2021-09-25,815,68,1248,100,15,310,25,131,4,191,21,82,4,2021,25,9
2021-09-26,857,56,1220,98,10,333,21,139,7,201,14,86,4,2021,26,9
2021-09-27,1391,75,1185,185,17,518,29,254,7,323,20,110,4,2021,27,9
2021-09-28,1118,66,1158,158,11,355,20,211,10,296,22,97,6,2021,28,9
2021-09-29,1095,64,1112,150,16,368,24,211,8,269,13,96,4,2021,29,9
2021-09-30,1139,64,1091,151,13,455,22,200,7,240,17,92,6,2021,30,9
2021-10-01,1083,82,1071,132,17,407,29,213,9,255,31,76,2,2021,1,10
2021-10-02,680,64,1052,74,18,280,18,122,6,156,21,48,4,2021,2,10
2021-10-03,905,63,1059,66,11,458,28,94,10,217,16,69,2,2021,3,10
2021-10-04,1269,78,1041,158,16,511,30,219,10,293,19,88,3,2021,4,10
2021-10-05,1269,71,1063,168,10,505,29,224,14,267,14,105,4,2021,5,10
2021-10-06,1145,63,1070,138,13,486,13,217,11,230,23,74,7,2021,6,10
2021-10-07,1077,62,1061,121,15,406,13,181,8,271,20,98,6,2021,7,10
2021-10-08,1011,46,1051,126,8,451,15,167,11,190,11,77,3,2021,8,10
2021-10-09,612,69,1041,67,14,250,26,95,10,145,15,55,4,2021,9,10
2021-10-10,688,51,1010,62,11,308,20,94,7,151,7,72,7,2021,10,10
2021-10-11,933,56,962,107,9,363,17,173,10,223,15,67,5,2021,11,10
2021-10-12,1141,49,944,127,7,462,15,201,9,239,18,112,4,2021,12,10
2021-10-13,1108,73,939,120,14,409,27,228,14,237,14,114,8,2021,13,10
2021-10-14,1023,49,931,108,11,426,12,174,8,204,17,111,2,2021,14,10
2021-10-15,883,60,913,111,11,322,12,162,13,207,20,81,4,2021,15,10
2021-10-16,487,56,895,55,10,193,20,55,5,137,16,47,6,2021,16,10
2021-10-17,588,47,880,49,2,260,29,81,7,132,9,66,2,2021,17,10
2021-10-18,868,58,871,108,10,363,20,141,2,176,18,80,9,2021,18,10
2021-10-19,796,50,822,93,12,313,17,135,8,172,10,83,3,2021,19,10
2021-10-20,801,53,778,99,9,295,19,156,9,176,9,75,7,2021,20,10
2021-10-21,809,49,747,85,6,341,18,131,3,165,17,87,6,2021,21,10
2021-10-22,693,47,720,86,12,261,19,131,4,138,10,76,3,2021,22,10
2021-10-23,450,41,715,55,7,162,16,93,5,79,9,61,6,2021,23,10
2021-10-24,443,45,694,37,8,198,16,66,7,84,9,57,5,2021,24,10
2021-10-25,894,35,698,94,5,363,13,168,4,186,11,82,2,2021,25,10
2021-10-26,597,42,670,64,6,238,19,101,4,125,8,69,5,2021,26,10
2021-10-27,758,48,663,100,8,288,17,146,8,153,13,71,2,2021,27,10
2021-10-28,737,38,653,82,9,311,11,122,10,145,7,77,1,2021,28,10
2021-10-29,641,30,646,87,6,230,8,123,6,145,8,56,3,2021,29,10
2021-10-30,399,28,638,40,6,158,12,61,1,101,5,39,4,2021,30,10
2021-10-31,446,30,639,47,5,199,8,59,7,109,8,32,3,2021,31,10
2021-11-01,780,39,623,74,7,313,12,141,4,195,13,57,4,2021,1,11
2021-11-02,805,50,652,78,10,302,19,173,4,191,10,60,7,2021,2,11
2021-11-03,825,53,662,75,12,300,24,181,5,202,9,66,4,2021,3,11
2021-11-04,907,39,686,108,6,350,14,209,4,186,14,53,3,2021,4,11
2021-11-05,769,34,704,91,9,290,13,148,4,186,5,54,4,2021,5,11
2021-11-06,505,38,720,57,11,198,14,74,4,133,7,42,3,2021,6,11
2021-11-07,544,35,734,46,4,205,16,104,2,137,10,52,5,2021,7,11
2021-11-08,1134,45,784,140,14,400,16,230,2,270,8,93,6,2021,8,11
2021-11-09,1036,34,817,100,5,358,8,244,5,244,11,90,6,2021,9,11
2021-11-10,1045,45,849,122,12,363,15,237,4,255,12,67,2,2021,10,11
2021-11-11,875,48,844,90,9,345,22,168,3,225,12,46,3,2021,11,11
2021-11-12,1027,39,881,109,8,373,15,200,6,256,11,89,0,2021,12,11
2021-11-13,615,41,897,65,5,241,18,105,4,154,10,50,6,2021,13,11
2021-11-14,688,38,917,47,3,257,17,142,4,170,11,71,5,2021,14,11
2021-11-15,1263,48,936,135,8,428,9,254,11,320,16,126,4,2021,15,11
2021-11-16,1270,40,969,151,7,430,8,285,7,301,13,101,6,2021,16,11
2021-11-17,1326,53,1009,163,12,432,18,282,10,350,11,99,4,2021,17,11
2021-11-18,1299,51,1070,172,13,428,19,296,2,308,15,95,3,2021,18,11
2021-11-19,1185,48,1092,114,4,354,18,268,5,330,20,119,3,2021,19,11
2021-11-20,826,47,1122,71,8,279,17,143,6,253,13,80,3,2021,20,11
2021-11-21,840,41,1144,75,4,292,14,149,8,233,13,91,3,2021,21,11
2021-11-22,1529,56,1182,152,12,519,16,297,6,413,17,148,5,2021,22,11
2021-11-23,1376,61,1197,143,9,481,21,285,4,355,19,111,10,2021,23,11
2021-11-24,1417,65,1210,160,16,460,16,255,11,387,15,155,8,2021,24,11
2021-11-25,532,65,1101,35,10,189,25,104,4,148,23,56,3,2021,25,11
2021-11-26,1172,75,1099,142,15,364,19,198,10,353,23,114,9,2021,26,11
2021-11-27,970,62,1119,100,7,301,21,157,13,306,18,105,5,2021,27,11
2021-11-28,1065,55,1152,89,9,321,16,192,5,334,23,128,5,2021,28,11
2021-11-29,2339,80,1267,286,13,664,28,461,10,687,22,238,8,2021,29,11
2021-11-30,2002,88,1357,277,19,576,22,394,11,574,33,179,6,2021,30,11
2021-12-01,2188,89,1467,280,15,703,30,400,18,585,25,220,4,2021,1,12
2021-12-02,2101,86,1691,305,16,629,30,397,14,556,21,213,8,2021,2,12
2021-12-03,1901,105,1795,242,23,582,25,318,17,557,35,201,8,2021,3,12
2021-12-04,1324,84,1846,174,17,383,29,186,14,412,21,169,4,2021,4,12
2021-12-05,1405,102,1894,122,17,464,31,238,16,418,30,162,9,2021,5,12
2021-12-06,2793,133,1959,363,22,847,53,580,15,749,37,252,6,2021,6,12
2021-12-07,2919,131,2090,333,30,898,36,674,16,742,42,268,9,2021,7,12
2021-12-08,3135,137,2225,339,27,980,48,806,20,740,44,263,6,2021,8,12
2021-12-09,3023,133,2357,354,32,914,38,736,16,745,41,268,7,2021,9,12
2021-12-10,3088,165,2527,346,45,983,47,729,26,776,40,253,15,2021,10,12
2021-12-11,2159,127,2646,267,29,620,42,483,15,592,34,192,10,2021,11,12
2021-12-12,2793,135,2844,257,28,868,44,790,16,662,39,212,10,2021,12,12
2021-12-13,7513,191,3519,744,37,2388,56,2360,36,1575,52,441,13,2021,13,12
2021-12-14,10857,194,4653,923,39,3416,63,4075,38,1941,51,498,9,2021,14,12
2021-12-15,13166,220,6086,1092,54,4124,71,4934,36,2405,49,607,13,2021,15,12
2021-12-16,13828,314,7629,1324,94,4507,95,4773,56,2612,66,609,15,2021,16,12
2021-12-17,13520,289,9119,1513,77,4269,75,4263,54,2760,71,711,18,2021,17,12
2021-12-18,9928,280,10229,1060,56,3239,94,2683,44,2327,64,613,22,2021,18,12
2021-12-19,10538,324,11336,1068,85,3428,101,2708,54,2629,71,695,18,2021,19,12
2021-12-20,27900,408,14248,3645,81,8910,144,7891,77,5985,91,1452,24,2021,20,12
2021-12-21,30330,431,17030,4587,103,9410,132,7054,73,7446,107,1820,19,2021,21,12
2021-12-22,31293,668,19620,5500,184,9407,189,6279,114,8137,161,1964,25,2021,22,12
2021-12-23,31743,661,22179,5361,184,9584,204,6301,117,8535,136,1952,29,2021,23,12
2021-12-24,17418,566,22736,2927,141,5580,201,3050,81,4854,129,1002,19,2021,24,12
2021-12-25,7778,603,22429,1412,142,2342,201,1399,113,2162,136,459,23,2021,25,12
2021-12-26,22870,733,24190,3715,179,7183,254,3562,111,6544,161,1862,33,2021,26,12
2021-12-27,50938,962,27481,9756,274,14931,320,8399,148,14148,190,3697,37,2021,27,12
2021-12-28,49132,830,30167,9738,204,13955,259,7896,150,14251,184,3282,41,2021,28,12
2021-12-29,50128,913,32858,10083,263,14198,283,7676,132,14617,196,3541,52,2021,29,12
2021-12-30,47027,1013,35042,9291,302,13351,321,7434,159,13866,190,3074,52,2021,30,12
2021-12-31,29001,807,36696,5132,172,8706,288,4541,139,8932,174,1685,39,2021,31,12
2022-01-01,12014,856,37301,1986,211,3520,255,1915,156,3721,192,870,50,2022,1,1
2022-01-02,32376,1291,38659,4906,360,10094,368,5054,218,9847,303,2466,60,2022,2,1
2022-01-03,54696,1113,39196,10517,359,16504,309,9067,185,15178,247,3410,26,2022,3,1
2022-01-04,48438,990,39097,10006,327,13713,265,8435,142,13332,214,2945,50,2022,4,1
2022-01-05,39662,1095,37602,7806,295,10979,349,6940,169,11412,243,2522,54,2022,5,1
2022-01-06,35997,935,36026,6933,279,10330,259,6233,158,10407,203,2084,42,2022,6,1
2022-01-07,23037,804,35174,4196,213,6793,253,4309,135,6427,174,1308,37,2022,7,1
2022-01-08,16128,763,35762,2692,208,4809,224,2519,129,5007,163,1099,43,2022,8,1
2022-01-09,14304,713,33180,1828,164,4698,218,2101,128,4556,163,1119,41,2022,9,1
2022-01-10,24147,906,28816,4313,264,7250,240,3958,153,7083,201,1539,54,2022,10,1
2022-01-11,17931,753,24458,3225,194,5335,238,2723,123,5370,167,1274,43,2022,11,1
2022-01-12,18210,740,21393,2957,166,5606,228,3170,119,5367,195,1107,40,2022,12,1
2022-01-13,15741,702,18500,2499,162,5001,200,2522,120,4756,188,960,42,2022,13,1
2022-01-14,13248,668,17101,2202,179,4092,198,2321,108,3831,163,798,28,2022,14,1
2022-01-15,6644,490,15746,874,115,2165,162,969,68,2100,113,536,39,2022,15,1
2022-01-16,6733,427,14665,788,100,2333,125,1169,62,1991,110,452,33,2022,16,1
2022-01-17,9547,529,12579,1169,103,3322,164,1632,78,2742,137,679,49,2022,17,1
2022-01-18,10762,484,11555,1617,132,3471,135,2057,83,2916,121,699,18,2022,18,1
2022-01-19,8878,416,10222,1246,107,2918,120,1729,64,2427,95,556,31,2022,19,1
2022-01-20,6804,454,8945,928,99,2219,148,1396,86,1818,101,443,24,2022,20,1
2022-01-21,5617,367,7855,734,102,1734,126,1132,67,1641,65,375,15,2022,21,1
2022-01-22,3509,289,7407,443,82,1153,81,510,41,1134,72,269,16,2022,22,1
2022-01-23,3289,260,6915,346,58,1167,81,591,39,970,68,215,16,2022,23,1
2022-01-24,5666,337,6361,761,113,1876,93,1166,59,1473,61,387,13,2022,24,1
2022-01-25,4732,326,5499,571,86,1600,112,980,37,1256,68,324,24,2022,25,1
2022-01-26,4119,264,4819,510,63,1423,81,871,39,1063,63,250,19,2022,26,1
2022-01-27,3544,269,4354,437,56,1182,88,747,44,914,54,262,30,2022,27,1
2022-01-28,2708,208,3938,303,45,891,58,556,42,760,48,198,16,2022,28,1
2022-01-29,501,134,3508,64,21,141,49,141,20,126,36,29,10,2022,29,1
2022-01-30,1425,137,3242,136,18,491,50,314,17,367,37,117,16,2022,30,1
2022-01-31,3111,194,2877,638,55,903,67,635,20,713,42,222,13,2022,31,1
2022-02-01,2210,162,2517,270,28,751,55,518,20,524,48,146,13,2022,1,2
2022-02-02,2326,148,2261,264,34,836,46,515,14,544,46,159,9,2022,2,2
2022-02-03,1991,124,2039,251,31,745,49,415,15,461,22,119,10,2022,3,2
2022-02-04,1517,115,1869,173,21,492,39,319,21,416,27,117,8,2022,4,2
2022-02-05,929,100,1930,120,29,297,30,188,16,254,19,70,7,2022,5,2
2022-02-06,862,77,1849,71,16,260,18,214,14,239,23,78,7,2022,6,2
