"Date","LI","Tot"
2019-01-03,0,197
2019-01-09,1,1
2019-01-14,0,82
2019-01-15,0,8
2019-01-16,2,2
2019-01-17,0,15
2019-01-18,1,29
2019-01-19,0,58
2019-01-23,29,89
2019-01-24,6,18
2019-01-25,0,8
2019-01-29,1,17
2019-01-31,250,415
2019-02-04,4,29
2019-02-05,0,93
2019-02-06,2,2
2019-02-08,135,136
2019-02-11,1,1
2019-02-13,0,26
2019-02-14,150,151
2019-02-15,0,16
2019-02-18,118,119
2019-02-22,1,1
2019-02-28,0,32
2019-03-01,0,18
2019-03-04,0,16
2019-03-05,0,29
2019-03-08,0,73
2019-03-11,0,25
2019-03-13,6,29
2019-03-14,0,8
2019-03-21,0,15
2019-03-22,0,22
2019-03-25,3,21
2019-03-26,535,546
2019-03-27,32,153
2019-03-28,96,119
2019-03-29,8,59
2019-04-01,0,8
2019-04-03,0,10
2019-04-04,30,53
2019-04-05,1,1
2019-04-08,0,28
2019-04-11,47,48
2019-04-12,2,16
2019-04-15,1,11
2019-04-16,3,14
2019-04-17,0,20
2019-04-18,239,265
2019-04-22,1,1
2019-04-24,0,375
2019-04-25,213,298
2019-04-26,176,227
2019-04-29,111,131
2019-04-30,60,82
2019-05-01,1,33
2019-05-02,1,1
2019-05-03,45,90
2019-05-06,335,353
2019-05-07,334,338
2019-05-10,0,60
2019-05-13,0,16
2019-05-14,0,20
2019-05-15,2,2
2019-05-16,436,468
2019-05-17,1,20
2019-05-19,198,198
2019-05-20,0,43
2019-05-21,0,16
2019-05-22,88,96
2019-05-23,1,1
2019-05-24,0,8
2019-05-28,0,2
2019-05-29,95,173
2019-05-30,1,1
2019-05-31,11,184
2019-06-03,4,20
2019-06-04,0,16
2019-06-05,2,117
2019-06-06,42,431
2019-06-07,2,23
2019-06-10,0,21
2019-06-11,3,41
2019-06-12,208,222
2019-06-13,409,692
2019-06-14,193,958
2019-06-17,48,67
2019-06-18,0,28
2019-06-19,44,71
2019-06-20,546,581
2019-06-21,212,223
2019-06-24,179,220
2019-06-25,652,782
2019-06-26,338,578
2019-06-27,2398,2539
2019-06-28,2817,3012
2019-07-02,0,76
2019-07-03,0,20
2019-07-08,0,12
2019-07-10,1,1
2019-07-11,0,58
2019-07-12,0,33
2019-07-15,0,21
2019-07-16,0,12
2019-07-17,0,18
2019-07-19,2,17
2019-07-22,210,229
2019-07-23,0,6
2019-07-24,1,1
2019-07-25,107,118
2019-07-26,0,16
2019-07-29,0,7
2019-07-30,79,80
2019-07-31,3,42
2019-08-01,0,27
2019-08-02,1,17
2019-08-07,3,15
2019-08-09,1,19
2019-08-12,2,2
2019-08-13,0,18
2019-08-14,0,17
2019-08-15,79,87
2019-08-16,0,63
2019-08-19,54,71
2019-08-23,3,23
2019-08-27,0,10
2019-08-28,3,41
2019-08-29,0,16
2019-08-30,101,130
2019-09-03,0,20
2019-09-06,87,121
2019-09-09,0,15
2019-09-11,1,1
2019-09-17,2,2
2019-09-19,0,16
2019-09-23,40,42
2019-09-25,1,1
2019-09-26,95,375
2019-09-30,15,130
2019-10-02,2,14
2019-10-03,34,172
2019-10-04,2,2
2019-10-07,0,39
2019-10-11,222,255
2019-10-15,29,107
2019-10-16,1,41
2019-10-17,57,58
2019-10-21,0,42
2019-10-23,6,1766
2019-10-24,1,29
2019-10-25,7,1506
2019-10-29,18,18
2019-10-30,1159,1590
2019-10-31,2,17
2019-11-04,47,48
2019-11-05,1,1
2019-11-06,106,115
2019-11-07,0,12
2019-11-08,0,43
2019-11-12,0,19
2019-11-13,2,5
2019-11-14,307,327
2019-11-15,0,39
2019-11-18,0,6
2019-11-19,6,32
2019-11-20,0,28
2019-11-21,1,1
2019-11-22,30,169
2019-11-25,4,38
2019-11-26,169,308
2019-11-27,123,612
2019-11-29,0,23
2019-12-02,46,61
2019-12-03,0,81
2019-12-04,0,10
2019-12-05,15,105
2019-12-06,2,8
2019-12-09,74,124
2019-12-10,0,35
2019-12-11,81,120
2019-12-12,184,186
2019-12-17,1,9
2019-12-18,747,762
2019-12-19,187,532
2019-12-20,1476,2365
2019-12-23,0,230
2019-12-24,216,575
2019-12-27,1525,1536
2019-12-30,494,517
2019-12-31,44,44
2020-01-03,0,17
2020-01-06,0,28
2020-01-07,0,173
2020-01-08,0,28
2020-01-14,1,1
2020-01-16,2,9
2020-01-17,1,47
2020-01-21,0,326
2020-01-22,4,81
2020-01-23,0,49
2020-01-24,0,258
2020-01-27,0,35
2020-01-28,0,177
2020-02-03,0,8
2020-02-04,0,26
2020-02-06,0,35
2020-02-07,0,44
2020-02-10,4,43
2020-02-11,5,37
2020-02-12,2,10
2020-02-14,0,23
2020-02-21,2,19
2020-02-24,0,13
2020-02-27,0,10
2020-02-28,9,37
2020-03-05,0,18
2020-03-06,0,6
2020-03-09,2,14
2020-03-12,0,27
2020-03-13,0,20
2020-03-16,0,7
2020-03-17,0,6
2020-03-20,0,35
2020-03-24,0,13
2020-03-26,0,8
2020-03-27,0,16
2020-03-30,15372,15372
2020-03-31,486,487
2020-04-01,345,506
2020-04-02,0,38
2020-04-03,0,41
2020-04-08,0,6
2020-04-09,0,110
2020-04-10,0,67
2020-04-13,0,112
2020-04-14,0,24
2020-04-20,0,10
2020-05-04,0,22
2020-05-06,0,8
2020-05-11,34,134
2020-05-13,0,22
2020-05-14,19,163
2020-05-15,0,116
2020-05-18,0,24
2020-05-19,0,8
2020-05-20,0,10
2020-05-21,0,15
2020-05-26,0,12
2020-05-27,0,42
2020-05-29,0,10
2020-06-01,0,36
2020-06-02,0,60
2020-06-03,0,32
2020-06-05,0,28
2020-06-08,0,26
2020-06-11,0,16
2020-06-12,1,1
2020-06-15,0,25
2020-06-16,0,60
2020-06-17,0,51
2020-06-18,102,103
2020-06-19,1,13
2020-06-22,0,8
2020-06-23,0,25
2020-06-24,0,16
2020-06-25,1,33
2020-06-26,22,45
2020-06-27,0,16
2020-06-28,0,7
2020-06-29,2,24
2020-06-30,35,699
2020-07-02,108,112
2020-07-10,1,1
2020-07-15,79,80
2020-07-30,170,171
2020-07-31,70,71
2020-08-03,152,154
2020-08-04,15,15
2020-08-11,79,95
2020-08-12,0,25
2020-08-13,0,15
2020-08-14,0,240
2020-08-18,40,519
2020-08-19,235,246
2020-08-20,163,527
2020-08-21,1,1
2020-08-25,3,22
2020-08-27,1,11
2020-08-31,0,26
2020-09-01,0,39
2020-09-03,0,7
2020-09-04,0,16
2020-09-08,0,10
2020-09-10,0,8
2020-09-14,0,8
2020-09-15,0,78
2020-09-16,24,124
2020-09-17,66,100
2020-09-18,1,40
2020-09-21,0,101
2020-09-22,0,63
2020-09-23,1,49
2020-09-24,0,101
2020-09-25,41,48
2020-09-29,29,170
2020-09-30,40,127
2020-10-01,49,605
2020-10-02,0,23
2020-10-05,0,10
2020-10-06,60,60
2020-10-09,1,1
2020-10-13,114,144
2020-10-14,27,31
2020-10-15,96,480
2020-10-16,384,757
2020-10-20,4,4
2020-10-21,624,686
2020-10-22,532,684
2020-10-26,13,96
2020-10-27,0,55
2020-10-28,0,18
2020-10-29,2,18
2020-11-02,0,31
2020-11-04,0,25
2020-11-05,0,121
2020-11-09,0,154
2020-11-10,1,303
2020-11-12,5,61
2020-11-13,73,99
2020-11-16,1,185
2020-11-17,96,202
2020-11-18,0,8
2020-11-20,1,17
2020-11-23,14,38
2020-11-25,6,10
2020-11-27,67,273
2020-12-01,1872,1874
2020-12-03,108,162
2020-12-04,0,125
2020-12-10,326,327
2020-12-11,0,14
2020-12-14,74,94
2020-12-16,2,70
2020-12-17,1585,1659
2020-12-22,190,269
2020-12-23,74,378
2020-12-24,0,50
2020-12-28,41,41
2020-12-29,829,940
2020-12-30,649,659
2020-12-31,426,864
2021-01-04,0,11
2021-01-06,101,117
2021-01-11,0,10
2021-01-12,1,1
2021-01-15,0,10
2021-01-19,0,8
2021-01-20,0,47
2021-01-21,2,73
2021-01-22,164,210
2021-01-26,6,20
2021-01-27,0,34
2021-01-28,62,77
2021-01-29,1,1
2021-02-03,0,76
2021-02-04,0,36
2021-02-05,0,143
2021-02-08,0,6
2021-02-09,2,220
2021-02-11,0,9
2021-02-12,0,52
2021-02-18,2,58
2021-02-22,0,8
2021-02-24,27,1301
2021-02-25,132,169
2021-02-26,1,1
2021-03-02,0,26
2021-03-05,1,11
2021-03-10,1,1
2021-03-11,0,17
2021-03-12,0,240
2021-03-16,1,16
2021-03-17,6,32
2021-03-18,0,12
2021-03-19,0,9
2021-03-22,0,55
2021-03-26,2,2
2021-03-31,236,240
2021-04-01,0,7
2021-04-08,2,2
2021-04-09,30,625
2021-04-13,1,1
2021-04-15,0,64
2021-04-16,3,35
2021-04-20,2,2
2021-04-23,115,133
2021-04-26,0,56
2021-04-27,0,23
2021-04-28,61,70
2021-04-29,392,1408
2021-04-30,110,112
2021-05-03,0,8
2021-05-05,0,36
2021-05-07,0,43
2021-05-10,81,202
2021-05-11,63,64
2021-05-12,59,284
2021-05-13,81,221
2021-05-14,24,69
2021-05-17,0,24
2021-05-20,4,21
2021-05-26,4,25
2021-05-27,1,1
2021-05-28,1,131
2021-06-07,1,1
2021-06-09,25,197
2021-06-11,0,36
2021-06-14,23,125
2021-06-15,21,138
2021-06-17,107,186
2021-06-18,2,2
2021-06-22,116,173
2021-06-23,46,46
2021-06-24,915,1386
2021-06-25,613,796
2021-06-28,6090,6394
2021-06-29,673,1058
2021-06-30,4152,6005
